Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,Volume,Last,OVtest,OV_DECISION
TSLA,1.81,"1,306,826 M","24,987,331",330.88,632486.0,568675.0
SPY,0.44,"807,957 M","39,237,449",773.03,607650.0,546802.0
META,2.73,"1,515,562 M","14,963,038",594.92,555374.0,507089.0
MSFT,2.28,"3,757,772 M","31,198,574",506.06,389970.0,362583.0
AMD,3.0,"766,545 M","19,635,878",469.56,303833.0,289696.0
GOOGL,1.39,"4,372,446 M","18,984,505",357.52,297186.0,281066.0
NFLX,3.74,"317,667 M","26,950,950",76.29,205863.0,176647.0
