Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,Last
CLIK,13 M,2702.0,"32,083",1.46
CLGN,6.1 M,0.0,"173,533",.3249
CLDI,4 M,14930.0,"163,579",1.63
CKX,22 M,0.0,"24,133",10.88
CJMB,11 M,10664.0,"850,696",1.9700
CISO,12 M,176.0,"74,358",.2589
CIIT,3.6 M,1969.0,"96,166",3.71
CHR,3.6 M,795.0,"61,913",1.955
CHOW,12 M,5859.0,"130,879",.3400
CHNR,5 M,0.0,"11,608",3.97
CHAI,7.3 M,63484.0,"387,014",.3314
CGTL,6.6 M,6790.0,"57,313",3.85
CGMXF,17 M,0.0,"22,190",.1801
CFND,19 M,0.0,"26,186",2.84
CETY,11 M,423.0,"20,399",.9061
CETX,5.1 M,4728.0,"66,123",2.97
CENN,8.2 M,103.0,"5,755",3.34
CELZ,7.8 M,802431.0,"3,852,116",1.20
CELU,20 M,125.0,"25,668",.6866
CDTG,3.8 M,2087.0,"56,653",1.26
CDLX,22 M,0.0,"18,004",3.80
CDIO,5.1 M,100.0,"15,041",1.71
CCTG,10 M,71215.0,"354,612",.7671
CCM,19 M,346.0,"175,634",4.34
CCHH,5 M,24178.0,"119,321",1.31
CCG,34 M,0.0,"15,766",13.40
CCEL,28 M,0.0,"6,265",3.51
CAPS,4.5 M,3537.0,"580,072",.294900
CANF,6.9 M,786.0,"18,762",3.21
CALC,10 M,1614.0,"194,200",.6590
CABR,13 M,1219.0,"67,348",1.44
BYSI,32 M,3100.0,"69,637",.7857
BTTC,8.6 M,39.0,"3,458",.79665
BTOC,13 M,100.0,"96,269",.2839
BTCT,8.3 M,2821.0,"174,373",.4916
BTBD,7.7 M,0.0,"83,010",1.25
BTAI,29 M,27316.0,"639,135",.9279
BRTX,5.1 M,8046.0,"269,285",.2010
BRQL,6.4 M,0.0,385,.212587
BRNS,23 M,1656.0,"21,497",.5621
BRN,14 M,453.0,"37,203",.9620
BRLT,22 M,18303.0,"394,627",1.28
BRLS,19 M,500.0,"11,720",.88775
BRIA,35 M,0.0,"5,240",1.38
BRFH,28 M,34657.0,"54,364",1.72
BQ,6.1 M,4379.0,"106,547",.8200
BOSC,31 M,0.0,"29,294",4.45
BON,9.7 M,1640.0,"25,034",1.19
BOLT,7.7 M,0.0,"12,993",3.99
BNKK,8.5 M,1256.0,"31,887",1.06
BNGO,13 M,0.0,"242,537",1.16
BMRA,5 M,0.0,"9,530",1.63
BMR,21 M,5804.0,"55,395",1.33
BMGL,7.7 M,302.0,"5,895",4.90
BLRX,12 M,0.0,"8,719",2.712
BLNE,37 M,1872.0,"736,961",1.12
BLIV,25 M,589.0,"5,242",2.26
BLIN,14 M,0.0,"85,101",1.12
BKYI,4.5 M,838086.0,10,4.125
BIYA,12 M,13711.0,"416,030",2.70
BIVI,8.3 M,70728.0,"1,249,301",1.1000
BIRD,23 M,12896.0,"420,020",2.58
BIOX,23 M,0.0,"115,745",.3580
BIAF,3.1 M,10262.0,"531,668",.4900
BHV,20 M,0.0,"2,312",12.75
BHM,35 M,0.0,"4,743",8.57
BGMS,5 M,480.0,"14,135",.8993
BGLC,3.8 M,0.0,"1,682",1.56
BGL,8.1 M,3923.0,"87,223",.1878
BGI,6.8 M,7170.0,"86,647",.3440
BGDE,31 M,201.0,"31,850",5.63
BFRI,15 M,1000.0,"441,841",1.21
BFRG,11 M,1384.0,"99,500",.5800
BESS,22 M,0.0,"84,126",3.12
BEEM,25 M,2388.0,"200,989",1.14
BEAT,30 M,83697.0,"668,441",.5488
BDMD,39 M,0.0,"68,050",1.22
BCTX,29 M,2900.0,"90,078",3.39
BCHT,38 M,0.0,"35,791",1.43
BCG,23 M,100.0,"54,465",1.36
BCDA,14 M,6454.0,"194,197",.9670
BCAB,5.8 M,400.0,"69,044",3.47
BBGI,40 M,0.0,"28,397",21.87
BBBMF,8.4 M,0.0,"2,000",.1087
BATL,31 M,457651.0,"6,406,108",1.410000
BANL,8.1 M,153.0,"24,232",3.85
BAFN,34 M,0.0,"11,144",6.30
AZIO,23 M,9213.0,"316,740",1.50
AZI,3.7 M,677542.0,"1,562,916",1.51
AYTU,26 M,0.0,"30,323",2.38
AXIL,40 M,0.0,"7,255",5.80
AWX,11 M,355445.0,"683,861",2.8000
AWRE,28 M,1100.0,"44,248",1.27
AWLIF,3.6 M,0.0,"6,604",.0955
AVX,26 M,0.0,"6,644",3.49
AVAT,15 M,7809.0,"155,280",.3380
AUST,18 M,2600.0,"40,773",1.28
AUID,10 M,9854.0,"162,524",.6180
ATXG,4.8 M,24.0,"32,460",4.68
ATOS,24 M,494.0,"69,086",2.37
ATNM,24 M,200.0,"177,304",.7702
ATER,5.2 M,4473.0,"111,031",.4800
ATCX,16 M,0.0,"24,537",3.14
ATCH,29 M,725242.0,"3,505,320",.1929
ASTI,34 M,22961.0,"375,443",3.51
ASTC,20 M,4299.0,"346,088",9.75
ASPC,25 M,0.0,489,10.56
ASBP,10 M,20839.0,"83,473",7.79
ARKR,21 M,0.0,"1,679",5.85
ARBB,7.8 M,0.0,340,4.40
ARAY,35 M,46025.0,"1,064,361",.2924
ARAI,14 M,14600.0,"448,698",.2714
AQMS,9.7 M,2.0,"37,206",2.73
AQB,7.1 M,115755.0,"1,261,023",1.3700
APVO,5 M,0.0,"14,583",4.02
APUS,6.4 M,0.0,"7,663",4.24
APRE,8 M,220.0,"30,797",.6443
APLM,39 M,0.0,"4,351",17.85
APEOF,4.3 M,NaN,775,.5933
ANY,16 M,2427.0,"164,496",2.05
ANGH,33 M,17160.0,"45,662",3.67
AMST,6.5 M,1944.0,"66,225",1.0000
AMSS,13 M,1723.0,"40,581",1.13
AMS,10 M,0.0,"9,633",1.53
AMOD,22 M,201.0,"13,437",4.47
AMIX,5 M,21756.0,"516,254",9.29
AMBO,5.3 M,7602.0,"26,797",1.84
ALZN,7 M,0.0,"27,729",1.46
ALP,4.5 M,117259.0,"863,349",.1934
ALLR,22 M,17314.0,"75,682",1.41
ALAR,14 M,300.0,"107,957",1.86
AKTX,13 M,1018.0,"25,323",7.53
AIXC,16 M,960.0,"26,356",.7893
AIRI,13 M,100.0,"8,827",2.58
AIRE,8.2 M,618.0,"43,888",1.53
AIOS,39 M,0.0,"9,375",12.00
AIMD,11 M,158.0,"23,486",1.43
AIM,7.3 M,542785.0,"1,868,899",.2630
AIHS,22 M,160.0,"7,213",1.50
AIFF,19 M,1052.0,"49,991",1.19
AIFA,13 M,356116.0,"1,137,642",2.110000
AIDX,5.6 M,11400.0,"32,632",.4573
AHT,21 M,108.0,"41,739",3.20
AGRZ,6.2 M,3665.0,"151,654",.2850
AGIG,39 M,34.0,"68,027",.8754
AFJK,38 M,30.0,"130,095",11.96
AERT,40 M,3287.0,"44,539",7.06
AEON,14 M,4350.0,"302,832",.2774
ADXN,7.5 M,789.0,"2,107",5.95
ADVB,13 M,228227.0,"598,232",7.91
ADIL,9.2 M,0.0,"53,256",4.21
ADGM,17 M,58927.0,"1,443,578",.7442
ACXP,6.6 M,4581.0,"75,660",1.53
ACTU,24 M,1291.0,"215,472",1.020
ACON,5.8 M,0.0,"43,506",2.36
ACCS,25 M,0.0,"7,674",6.50
ABVC,25 M,0.0,"174,958",.9501
ABTS,3.7 M,438.0,"31,979",1.26
ABLV,40 M,3.0,"30,250",.8017
AAME,30 M,0.0,"32,858",1.46
AACG,38 M,0.0,"3,208",.8700
