Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,Last
SKYQ,18 M,130722.0,"1,586,426",3.73
SKYE,19 M,6125.0,"77,690",.5325
SKK,11 M,636.0,"4,433",4.50
SJ,35 M,0.0,"16,934",.8200
SINT,11 M,0.0,"24,056",1.70
SILO,4.7 M,20042.0,"52,606",3.78
SILEF,5.9 M,0.0,"109,479",.1023
SGTM,13 M,0.0,"5,300",.11609
SGLY,7.7 M,16.0,"72,276",8.55
SFHG,9.4 M,0.0,"6,604",2.32
SEGG,8.1 M,279987.0,"652,872",2.50
SEED,13 M,4610.0,"60,263",1.0700
SDST,7.3 M,7950.0,"321,316",.6870
SDOT,13 M,2307.0,"138,825",12.51
SCWO,38 M,0.0,"16,320",2.15
SCNX,17 M,7506.0,"606,378",.4145
SCLTF,3.3 M,0.0,"20,000",.0773
SCAG,27 M,100.0,"10,633",.3655
SBMCF,14 M,0.0,"430,043",.09805
SAGT,14 M,54219.0,"419,037",.7253
SACH,39 M,2181.0,"139,248",.8041
RVSN,10 M,0.0,"25,771",4.61
RVP,20 M,0.0,"24,316",.6700
RNAZ,4.1 M,3487.0,"20,135",3.88
RMTI,27 M,193.0,"81,118",6.84
RMSG,5.3 M,16296.0,"133,754",.3713
RMCF,7.4 M,0.0,"51,127",.7805
RKTO,20 M,11490.0,"472,140",.7901
RIME,6.5 M,13893.0,"312,303",.4232
RGNT,13 M,0.0,"19,944",1.85
REVB,4.4 M,918.0,"34,529",1.13
RENX,5 M,1.0,"30,228",1.91
REFR,17 M,6000.0,"161,757",.4900
REED,9.9 M,0.0,"4,900",.8340
RECT,18 M,399.0,"14,389",1.15
REBN,12 M,10.0,"43,056",1.41
RDI,35 M,0.0,"99,197",1.55
RDHL,3.5 M,825.0,"47,834",.5810
RDAC,39 M,0.0,514,6.47
RCT,15 M,58547.0,"563,786",.2169
RCON,3.2 M,5.4766144E7,"137,716,541",.0355
RCG,20 M,0.0,"6,760",2.90
RAY,17 M,108.0,"2,257",2.92
RANG,23 M,0.0,"3,140",10.73
