Watchlist '24 Hour Trading'

24 Hour Trading
Symbol,myRange,Market Cap,Volume,Last
SHOP,4.98,"195,017 M","13,405,037",151.57
CCL,3.37,"39,706 M","13,379,977",28.99
UMC,3.55,"46,948 M","13,371,533",18.72
GLD,0.93,"141,656 M","13,324,498",398.47
VTRS,3.58,"18,871 M","13,015,381",16.43
APLD,7.9,"8,412 M","12,988,669",29.22
MSTZ,21.44,91 M,"12,815,321",10.30
ZTS,9.78,"30,025 M","12,784,552",72.66
CTSH,3.48,"25,977 M","12,627,523",57.67
LABD,5.93,40 M,"12,583,708",7.57
TSCO,3.69,"18,007 M","12,477,149",34.56
PINS,2.5,"13,410 M","12,427,922",23.68
CVS,1.81,"122,397 M","12,403,394",95.70
MP,11.0,"9,099 M","12,391,812",51.11
KDP,2.36,"40,837 M","12,391,789",30.01
MSTX,17.98,147 M,"12,334,825",9.13
RIOT,9.1,"7,760 M","12,233,339",20.52
WBD,2.19,"67,141 M","12,230,740",26.78
NVDL,3.64,"3,849 M","12,173,165",36.43
CRCL,5.59,"16,926 M","12,164,512",66.67
NVO,1.65,"208,925 M","12,079,424",47.26
LUNR,10.66,"2,631 M","12,018,163",16.40
FXI,0.54,"4,313 M","11,950,559",36.17
DVN,2.7,"47,278 M","11,842,985",42.98
WDC,8.3,"149,695 M","11,820,839",434.30
RUN,6.75,"2,457 M","11,607,452",10.20
BSX,2.16,"71,462 M","11,447,002",49.31
CRM,2.15,"157,854 M","11,392,789",192.74
GEN,7.45,"17,460 M","11,324,648",29.17
FCX,2.76,"97,468 M","11,290,149",69.62
META,2.24,"1,508,378 M","11,250,258",592.10
KO,1.13,"374,537 M","11,221,651",87.05
PPL,3.54,"26,678 M","10,945,544",35.46
DIS,1.49,"181,147 M","10,929,696",104.91
FAST,3.39,"59,486 M","10,822,281",51.84
GDXJ,2.47,"8,455 M","10,767,454",117.62
GLW,5.75,"142,715 M","10,740,855",165.68
NEM,3.42,"119,046 M","10,675,809",112.98
HST,1.94,"15,951 M","10,608,873",23.29
CVNA,5.55,"77,901 M","10,488,586",70.85
OSCR,10.37,"8,611 M","10,476,679",27.90
TOST,3.35,"19,929 M","10,403,311",34.48
IEMG,1.36,"156,268 M","10,250,526",79.99
GTLB,5.25,"6,582 M","10,197,061",38.97
C,2.05,"226,454 M","10,160,290",135.00
BND,0.22,"161,323 M","10,067,597",72.40
KRE,0.94,"4,573 M","9,932,795",76.21
ON,2.4,"31,600 M","9,839,495",81.17
QCOM,3.51,"176,253 M","9,723,292",167.86
MO,2.07,"114,127 M","9,490,711",68.35
BBJP,0.68,"18,909 M","9,470,884",78.20
EFA,0.53,"80,240 M","9,430,888",108.55
FISV,4.57,"27,870 M","9,426,005",52.41
PSLV,1.64,"13,237 M","9,392,371",20.82
RXRX,2.67,"1,727 M","9,355,889",3.22
NEE,2.25,"176,578 M","9,327,417",84.65
PSKY,4.76,"10,311 M","9,326,940",9.19
BTDR,8.34,"2,647 M","9,308,667",10.88
QUBT,5.2,"2,070 M","9,182,744",9.18
TSM,2.83,"2,178,527 M","9,159,559",420.04
JNK,0.15,"7,308 M","9,024,065",95.81
DOW,2.31,"21,193 M","9,022,055",29.34
KWEB,1.0,"5,673 M","8,977,701",28.66
KLAC,3.48,"258,840 M","8,974,090",198.11
VG,3.52,"32,943 M","8,874,456",13.26
NET,9.75,"106,920 M","8,769,274",300.27
COIN,6.75,"40,525 M","8,747,683",153.60
CORZ,5.95,"6,751 M","8,659,002",21.01
SPTL,0.44,"10,799 M","8,567,317",25.25
DDOG,6.5,"83,998 M","8,541,350",233.93
MNST,4.92,"88,510 M","8,504,844",90.36
SPXS,1.72,332 M,"8,471,855",23.96
PYPL,2.01,"50,532 M","8,413,936",59.07
IAU,0.9,"64,413 M","8,402,715",81.68
XBI,1.86,"10,343 M","8,397,115",157.37
HIMS,6.44,"7,312 M","8,391,219",31.59
SLB,2.85,"74,987 M","8,351,403",50.53
HAL,2.27,"26,569 M","8,263,152",31.89
BIL,0.02,"46,653 M","8,262,941",91.48
GILD,2.68,"165,174 M","8,202,062",133.21
KMI,1.43,"68,697 M","8,187,404",30.85
IGV,1.7,"14,721 M","8,175,307",102.69
BAX,4.97,"14,243 M","8,162,691",27.55
AKAM,14.12,"15,918 M","8,147,189",110.54
STM,2.11,"50,023 M","8,090,941",56.10
UNG,1.34,478 M,"8,059,833",9.74
SH,0.56,843 M,"8,054,569",32.07
VEA,0.76,"237,105 M","7,979,108",72.89
XLV,1.75,"43,320 M","7,971,774",165.68
GIS,2.87,"19,689 M","7,906,986",36.89
COP,3.16,"141,289 M","7,866,036",117.61
VST,5.89,"47,404 M","7,860,749",140.59
CPRT,4.02,"27,460 M","7,803,115",29.66
IBKR,3.05,"39,794 M","7,785,093",87.83
APP,4.24,"116,057 M","7,736,957",346.80
TXN,1.85,"261,262 M","7,713,951",286.08
SO,2.01,"106,627 M","7,708,113",92.69
OXY,2.39,"55,890 M","7,683,234",55.91
NI,1.8,"20,434 M","7,667,034",42.61
RF,1.61,"26,776 M","7,592,283",31.43
PG,1.47,"338,879 M","7,565,510",145.79
WFC,1.53,"263,844 M","7,390,990",87.25
WY,1.47,"18,436 M","7,386,973",25.58
KR,1.28,"34,755 M","7,375,099",56.73
MRK,1.63,"317,570 M","7,347,555",128.58
CNP,2.31,"26,797 M","7,331,311",40.68
LCID,4.93,"2,774 M","7,326,656",7.04
BKR,2.11,"61,099 M","7,322,512",61.55
CSX,1.64,"93,124 M","7,239,391",50.27
BROS,3.33,"9,260 M","7,219,824",53.01
BMY,1.48,"132,204 M","7,212,878",64.72
ANET,5.6,"237,955 M","7,208,543",188.67
BKNG,4.12,"161,111 M","7,207,614",214.42
VICI,1.13,"29,443 M","7,172,132",26.74
JAAA,0.04,"29,780 M","7,164,064",50.56
SCHW,1.36,"187,131 M","7,154,255",107.60
CVX,1.01,"365,957 M","7,098,795",186.56
JPST,0.04,"40,551 M","7,088,890",50.44
KKR,2.59,"92,286 M","7,048,666",102.81
ARKK,3.31,"6,291 M","7,041,169",79.43
SPYM,0.56,"168,541 M","7,032,161",91.01
EXC,2.48,"46,990 M","6,992,728",45.61
BITX,2.82,909 M,"6,947,695",12.41
CAG,2.51,"7,231 M","6,928,236",15.11
HUT,12.0,"10,920 M","6,837,851",88.59
MRNA,8.78,"23,623 M","6,820,581",59.17
AES,0.27,"10,509 M","6,795,816",14.73
UVXY,1.73,293 M,"6,758,063",21.62
LRCX,3.87,"389,585 M","6,714,117",311.35
SPXU,1.7,384 M,"6,700,470",33.58
FOXA,3.05,"26,870 M","6,692,878",64.03
VXX,1.16,0,"6,660,566",20.32
ABT,1.85,"186,553 M","6,606,637",107.81
BKLN,0.1,"6,740 M","6,580,664",20.50
JNJ,1.76,"624,742 M","6,532,116",259.24
SMH,2.41,"71,755 M","6,505,032",582.70
SRE,2.46,"54,849 M","6,403,178",83.88
SBUX,3.07,"120,361 M","6,378,244",105.58
XLK,1.61,"123,076 M","6,361,238",187.97
TFC,1.37,"63,952 M","6,346,377",52.35
XPEV,2.48,"11,603 M","6,305,334",12.13
DASH,6.09,"93,705 M","6,257,282",216.26
RSP,0.9,"99,089 M","6,233,745",220.09
SNOW,2.88,"114,548 M","6,217,425",330.49
CSGP,5.46,"12,253 M","6,205,720",30.24
IJH,0.93,"127,070 M","6,180,479",77.79
BULL,2.84,"3,893 M","6,117,639",7.32
APH,3.31,"208,596 M","6,062,086",169.18
BABA,2.02,"307,783 M","6,061,712",128.41
XYZ,2.72,"47,463 M","6,002,021",79.00
S,2.29,"7,336 M","5,996,404",21.40
AA,3.17,"13,240 M","5,991,598",50.17
