Watchlist '24 Hour Trading'

24 Hour Trading
Symbol,myRange,Market Cap,Volume,Last
TRMB,2.64,"13,872 M","2,116,405",59.51
CDNS,3.74,"93,424 M","2,092,115",339.24
CCI,2.03,"32,160 M","2,091,802",75.59
ZS,2.89,"27,277 M","2,083,281",168.68
PRU,1.83,"41,842 M","2,079,939",121.28
LI,1.84,"12,717 M","2,073,338",12.95
CLX,2.21,"12,715 M","2,044,207",105.15
CF,3.47,"17,306 M","2,040,969",114.35
SYF,1.75,"25,571 M","2,038,728",78.59
NVDY,1.36,"1,464 M","2,029,733",13.00
CHTR,3.0,"18,198 M","2,022,884",152.57
ETR,2.6,"50,014 M","2,021,336",107.18
HWM,4.92,"112,414 M","2,000,989",281.88
CFG,1.89,"30,607 M","1,999,828",72.67
FMC,2.75,"1,326 M","1,990,746",10.59
VIXY,1.12,197 M,"1,990,474",19.56
P,4.15,"29,933 M","1,980,869",90.05
LDOS,3.8,"17,264 M","1,955,361",137.57
ARE,4.21,"8,560 M","1,946,124",49.74
SCHR,0.2,"13,324 M","1,933,238",24.43
RSG,3.49,"65,701 M","1,922,829",214.56
ETH,1.54,"1,751 M","1,922,506",18.29
DFAC,0.52,"49,568 M","1,921,769",45.93
PAYX,1.98,"42,696 M","1,918,487",120.04
AVAV,11.12,"9,450 M","1,916,183",186.73
USMV,0.59,"24,380 M","1,895,609",100.62
EFX,5.0,"21,448 M","1,873,379",182.56
SPOT,3.94,"100,354 M","1,861,656",488.14
GDDY,3.19,"11,534 M","1,858,246",91.07
DUST,5.74,51 M,"1,857,523",41.75
BDX,2.45,"48,174 M","1,852,007",176.86
SYK,2.24,"130,043 M","1,845,947",339.03
UPRO,1.67,"5,760 M","1,844,147",155.06
MAS,2.87,"15,284 M","1,838,811",77.51
DG,1.93,"27,924 M","1,833,646",126.59
ILMN,4.58,"28,382 M","1,825,259",187.96
MCHI,0.6,"6,381 M","1,823,646",56.57
AMGN,2.63,"222,321 M","1,821,551",410.945
ADSK,3.22,"52,592 M","1,821,188",249.08
IEUR,0.49,"9,166 M","1,818,837",78.34
SGOL,0.9,"7,410 M","1,800,703",41.35
AXP,1.57,"230,220 M","1,793,905",340.91
YUM,1.14,"41,143 M","1,781,646",150.76
AMTM,5.48,"6,052 M","1,779,958",24.77
STZ,3.04,"23,185 M","1,779,753",135.76
BALL,1.86,"16,795 M","1,763,084",63.45
PGR,1.7,"125,187 M","1,755,245",215.33
PULS,0.02,"18,371 M","1,751,167",49.59
CHD,1.26,"24,489 M","1,743,955",103.24
NTAP,4.16,"37,190 M","1,740,480",189.52
EPAM,5.64,"5,026 M","1,738,028",97.43
VTV,0.82,"191,592 M","1,735,753",224.31
LIN,1.41,"225,871 M","1,731,393",489.98
ETN,2.54,"174,267 M","1,721,861",448.68
AAAU,0.88,"2,636 M","1,720,256",42.81
MDB,5.11,"32,076 M","1,709,866",398.80
AMZU,4.18,338 M,"1,704,316",42.43
UVIX,2.28,220 M,"1,701,007",50.55
IGIB,0.28,"18,569 M","1,694,975",52.38
MRSH,1.68,"91,458 M","1,688,617",191.65
WM,2.14,"91,007 M","1,684,682",227.68
WAB,1.57,"49,290 M","1,682,941",291.81
BRO,3.19,"23,901 M","1,665,337",71.43
DFAI,0.42,"18,004 M","1,659,872",43.31
BIDU,1.84,"37,212 M","1,658,246",109.71
EVRG,1.92,"19,225 M","1,655,564",83.38
TRGP,4.86,"55,081 M","1,636,164",256.87
DLTR,2.96,"25,156 M","1,630,619",130.90
DFIC,0.41,"15,260 M","1,621,366",39.23
EXPE,3.26,"37,288 M","1,620,113",310.68
SHYG,0.12,"7,600 M","1,615,964",42.15
FLRN,0.1,"2,968 M","1,608,230",30.76
REG,2.1,"14,122 M","1,606,786",77.12
IQLT,0.49,"14,235 M","1,604,122",51.67
MSTY,6.25,777 M,"1,597,493",12.82
AXON,9.08,"46,387 M","1,592,276",571.01
PODD,4.22,"9,791 M","1,591,344",141.17
SPGI,2.23,"120,334 M","1,579,191",408.19
SHW,2.28,"89,755 M","1,573,325",369.73
CTAS,1.88,"81,254 M","1,569,019",203.05
SPYG,0.77,"55,359 M","1,562,306",123.02
MCK,2.94,"101,385 M","1,562,208",869.58
COO,2.66,"14,477 M","1,561,958",74.23
AMT,1.91,"80,397 M","1,560,531",172.54
COR,2.98,"61,152 M","1,560,528",320.46
TROW,1.42,"24,322 M","1,557,954",114.02
CAH,1.5,"55,366 M","1,551,067",236.40
INCY,2.98,"24,437 M","1,540,373",120.56
MKC,2.69,"14,238 M","1,536,330",52.96
FLOT,0.06,"10,471 M","1,535,664",50.93
A,3.77,"41,227 M","1,525,223",145.97
COST,1.31,"420,338 M","1,524,247",947.82
BILI,2.53,"7,843 M","1,522,721",18.74
XYL,1.75,"28,093 M","1,516,960",120.32
IGSB,0.12,"23,336 M","1,516,027",52.13
SVIX,1.13,165 M,"1,510,589",25.25
FANG,2.31,"52,655 M","1,507,147",188.04
WYNN,3.44,"10,559 M","1,502,506",102.54
DUOL,6.61,"6,124 M","1,499,580",130.90
STRC,0.85,0,"1,498,743",95.01
SCHI,0.27,"11,487 M","1,497,121",22.31
WRB,1.92,"26,580 M","1,495,876",71.60
IRM,2.26,"36,067 M","1,491,844",121.15
ES,2.4,"27,202 M","1,491,585",72.33
CHRW,3.66,"17,451 M","1,487,470",149.345
HIG,1.59,"39,277 M","1,474,032",143.28
BG,2.57,"20,822 M","1,473,199",108.38
CE,3.77,"4,817 M","1,450,386",43.89
HLT,1.9,"71,481 M","1,447,750",317.60
KMX,1.57,"8,256 M","1,444,418",58.18
VLUE,1.41,"9,466 M","1,433,902",197.63
GS,1.45,"302,705 M","1,429,686",1039.61
CBRE,3.55,"42,909 M","1,425,627",148.18
IFF,2.09,"21,915 M","1,420,883",85.89
MBB,0.27,"39,080 M","1,416,335",93.27
HUM,6.02,"46,231 M","1,405,174",385.00
IBDV,0.14,"3,302 M","1,404,485",21.63
AVEM,1.5,"26,528 M","1,390,196",92.27
SRTY,2.23,68 M,"1,387,273",21.20
FOX,3.25,"23,933 M","1,386,821",57.03
ILF,1.87,"3,826 M","1,384,613",34.62
SCYB,0.12,"2,750 M","1,374,522",26.04
DD,3.11,"19,240 M","1,367,037",142.47
AEE,2.23,"30,132 M","1,366,774",108.84
CB,1.27,"135,150 M","1,354,698",350.31
SVXY,0.58,230 M,"1,347,897",59.36
BIV,0.26,"28,865 M","1,344,682",75.69
LYV,2.41,"42,086 M","1,336,142",180.66
ACWX,0.77,"11,921 M","1,334,385",77.41
IAGG,0.08,"11,422 M","1,330,413",50.03
FDXF,4.92,"21,644 M","1,328,988",144.76
SPG,1.6,"72,287 M","1,318,535",222.91
EMXC,1.74,"24,030 M","1,310,447",94.72
FNDF,0.65,"25,669 M","1,309,273",55.19
UDOW,1.59,940 M,"1,301,222",76.14
SPXL,1.64,"7,290 M","1,299,508",296.33
VGK,0.51,"31,135 M","1,293,143",92.60
CRSP,3.81,"5,175 M","1,284,024",53.52
AOS,2.76,"8,695 M","1,280,717",63.98
PFG,1.49,"24,279 M","1,275,798",113.40
PAYC,4.15,"9,688 M","1,267,266",214.94
PPG,2.4,"26,614 M","1,266,887",119.72
IGF,0.66,"10,671 M","1,264,766",65.95
PALL,1.86,681 M,"1,264,407",25.05
STT,2.14,"50,732 M","1,263,414",184.68
VRSK,3.92,"24,967 M","1,260,935",191.82
BINC,0.1,"16,279 M","1,260,905",52.06
ODFL,3.91,"44,864 M","1,253,182",216.36
CME,1.46,"94,807 M","1,250,863",263.66
KBE,1.01,"1,714 M","1,248,951",69.97
DVA,4.13,"11,725 M","1,245,117",183.77
DTE,2.02,"29,105 M","1,242,323",139.87
DECK,1.85,"13,272 M","1,237,084",97.46
PTC,2.25,"16,027 M","1,235,321",147.71
TRV,1.66,"80,157 M","1,235,164",384.31
TXT,2.75,"15,381 M","1,233,537",89.43
AAPU,2.63,197 M,"1,230,176",40.03
HYMB,0.26,"3,362 M","1,229,743",24.98
VMC,2.54,"36,890 M","1,215,314",284.69
FDX,2.04,"75,368 M","1,215,155",318.57
ROST,1.98,"81,873 M","1,214,353",255.23
CCEP,1.22,"47,885 M","1,207,216",108.29
AWK,2.27,"26,890 M","1,200,320",135.31
EWA,0.41,"1,484 M","1,199,113",30.41
IT,5.75,"11,720 M","1,194,961",185.60
ETHE,1.56,"1,554 M","1,192,680",15.46
GBTC,1.31,"9,757 M","1,190,988",50.30
IBTG,0.04,"2,214 M","1,186,402",22.84
EMLC,0.23,"4,800 M","1,167,365",25.72
SNPS,2.67,"79,653 M","1,161,877",415.99
RCL,2.14,"85,585 M","1,161,788",320.00
VLTO,2.44,"23,975 M","1,159,555",98.34
SIVR,2.05,"4,417 M","1,150,158",60.46
PAAA,0.04,"11,265 M","1,148,319",51.35
NUGT,4.38,"1,207 M","1,147,619",160.84
CGBL,0.46,"7,482 M","1,146,748",38.39
HYD,0.24,"4,402 M","1,139,834",50.48
AJG,2.33,"63,603 M","1,128,734",248.12
ACGL,1.95,"33,604 M","1,125,174",98.48
DGRO,0.87,"43,585 M","1,122,398",79.47
ROK,2.33,"48,977 M","1,122,312",441.04
DBC,0.95,"1,664 M","1,114,546",28.91
GGLL,2.94,"1,005 M","1,112,292",108.40
ECL,1.95,"79,941 M","1,106,750",285.17
SOLV,3.04,"14,125 M","1,104,147",82.98
JPIE,0.09,"10,331 M","1,096,514",45.84
LHX,1.77,"53,382 M","1,094,237",286.67
FLTR,0.07,"3,037 M","1,093,156",25.54
IXUS,0.67,"60,399 M","1,092,819",97.34
TSLZ,8.47,31 M,"1,088,667",15.34
PHM,3.41,"25,316 M","1,079,411",132.90
IBTI,0.09,"1,930 M","1,075,518",22.08
HCA,3.21,"89,493 M","1,071,806",413.36
HODL,1.26,"1,083 M","1,066,596",18.35
ALLE,2.42,"14,366 M","1,066,107",168.94
IEI,0.18,"17,704 M","1,065,016",116.55
ASML,2.4,"668,714 M","1,064,936",1740.99
PAVE,1.15,"14,376 M","1,059,044",58.69
JBL,3.76,"35,755 M","1,057,090",341.22
DFIV,0.42,"21,708 M","1,055,078",57.98
IQV,3.59,"39,290 M","1,054,329",238.70
GD,2.32,"106,072 M","1,053,068",392.05
REMX,2.31,"2,259 M","1,050,818",77.04
NUE,2.35,"62,089 M","1,045,843",272.63
CGXU,1.1,"6,551 M","1,040,650",34.81
HSY,1.43,"36,639 M","1,039,898",182.35
LW,2.1,"7,186 M","1,037,996",52.27
RVTY,1.56,"12,791 M","1,032,433",114.66
HAS,2.38,"13,190 M","1,028,368",93.52
NOBL,1.16,"11,929 M","1,028,267",58.42
AVDE,0.4,"18,771 M","1,016,703",93.95
TLTW,0.47,"1,842 M","1,012,569",21.36
PNW,2.11,"12,245 M","1,010,029",101.03
SCMB,0.18,"3,982 M","1,004,769",25.41
AME,1.32,"58,154 M","1,001,543",253.66
FENI,0.53,"11,304 M","1,001,256",41.76
QRVO,3.8,"8,741 M","1,000,621",99.08
TT,1.36,"106,119 M","996,482",482.31
MSI,2.68,"77,377 M","996,288",467.55
DFEM,1.26,"9,230 M","996,035",39.26
WSM,2.72,"29,646 M","995,651",251.78
STLD,2.72,"37,616 M","995,431",262.45
DOV,1.47,"28,435 M","992,580",211.13
VRTX,3.17,"125,734 M","992,491",496.07
BTC,1.28,"3,443 M","988,900",28.73
SPYV,0.71,"36,479 M","985,108",63.14
TSLY,1.59,660 M,"983,753",21.55
BITI,1.43,117 M,"982,682",23.55
PSA,1.98,"61,327 M","978,941",328.40
DRI,2.48,"24,385 M","975,281",213.76
IDEV,0.45,"32,640 M","970,055",93.31
JMBS,0.36,"6,747 M","964,134",44.42
CMI,2.1,"88,692 M","963,764",644.26
PNC,1.46,"100,771 M","956,182",252.56
MTUM,2.36,"25,534 M","948,528",309.32
TSLR,7.55,69 M,"945,832",13.95
ELV,2.17,"85,490 M","942,127",394.20
DE,2.73,"167,585 M","942,048",620.83
IVW,0.75,"77,622 M","942,044",142.10
FDS,3.98,"10,156 M","941,086",285.57
EWS,0.32,"1,150 M","940,517",33.25
IBDY,0.24,"1,091 M","940,041",25.40
BULZ,5.21,0,"939,575",36.64
FLGB,0.56,933 M,"938,158",37.451
CGMU,0.15,"6,573 M","935,762",27.15
FETH,1.53,"1,035 M","935,515",19.10
AON,1.69,"76,005 M","928,749",358.30
CGGO,1.14,"11,925 M","919,366",40.63
ITW,1.78,"84,489 M","918,954",296.66
EWU,0.64,"4,164 M","918,567",48.64
EPP,0.36,"2,280 M","918,198",58.01
BXP,1.92,"11,130 M","911,448",69.71
CGCP,0.23,"8,512 M","910,486",22.04
ATO,1.53,"28,760 M","907,518",170.19
GRMN,3.08,"59,956 M","900,213",310.89
VYM,0.85,"83,508 M","889,867",165.63
WAT,2.72,"39,948 M","888,557",406.86
VIG,0.53,"114,203 M","887,818",245.23
HYEM,0.5,527 M,"876,065",20.02
JKHY,1.79,"11,080 M","873,491",155.95
EXR,1.67,"31,593 M","872,557",149.54
ALGN,5.36,"12,337 M","870,104",173.66
MAA,2.21,"15,658 M","864,664",134.96
YMAX,1.72,396 M,"856,463",7.70
ICSH,0.02,"8,396 M","855,847",50.47
KEYS,2.81,"58,270 M","852,120",340.97
MHK,3.47,"9,216 M","851,334",136.06
IBHH,0.26,457 M,"844,806",23.385
PZA,0.35,"4,264 M","842,870",23.07
BIIB,2.03,"30,724 M","840,566",207.94
REGN,2.45,"80,754 M","837,598",784.36
CGSD,0.08,"2,439 M","831,302",25.70
NWS,4.09,"17,546 M","830,237",32.45
GPC,2.14,"18,698 M","827,430",135.63
DPZ,1.56,"11,610 M","826,734",350.95
FUTU,4.13,"15,284 M","826,730",109.02
PH,1.57,"135,400 M","823,580",1073.87
MOAT,0.99,"12,271 M","822,113",112.27
BSCU,0.17,"2,688 M","821,474",16.575
EXPD,1.97,"23,231 M","816,702",178.71
MKTX,0.2,"5,720 M","805,741",162.53
STE,4.85,"23,143 M","804,021",237.47
H,2.34,"16,747 M","781,320",177.71
MGK,0.7,"33,890 M","776,644",90.79
DFAE,4.17,"9,700 M","776,138",38.83
NTRS,2.0,"33,938 M","775,657",185.50
TMV,1.37,190 M,"772,292",41.79
CPT,1.55,"11,253 M","767,711",111.93
CLOX,0.27,323 M,"764,905",25.54
IWD,0.66,"83,913 M","763,085",257.56
VTWO,0.72,"17,358 M","762,689",121.85
HYLB,0.12,"3,477 M","760,592",36.34
LVHI,0.76,"5,595 M","757,998",42.93
CBOE,2.23,"29,928 M","755,968",286.58
TFX,4.56,"5,976 M","752,284",134.98
CWVX,12.46,116 M,"750,532",18.34
PWR,4.78,"101,010 M","750,297",671.86
LMT,1.97,"135,693 M","749,587",587.95
APD,2.64,"67,572 M","749,215",303.44
IGLB,0.41,"2,801 M","745,196",48.21
EWC,0.48,"6,461 M","744,570",61.30
FNDE,0.67,"10,034 M","743,741",41.67
SCHY,0.29,"2,567 M","740,948",33.64
KC,1.9,"3,691 M","739,224",12.33
BLV,0.41,"5,739 M","737,181",66.35
ZBRA,4.96,"17,812 M","733,826",376.49
MTB,1.86,"36,169 M","732,378",250.45
BITB,1.33,"2,492 M","731,131",35.24
CGMS,0.15,"5,419 M","723,630",27.19
LMND,2.78,"4,097 M","721,957",52.94
JBND,0.21,"8,566 M","715,056",52.76
SOLT,3.21,109 M,"714,687",31.90
JMUB,0.16,"8,513 M","712,592",49.93
EUFN,0.93,"4,303 M","710,291",42.46
RL,3.67,"23,567 M","709,501",395.53
CGUS,0.5,"11,880 M","709,364",46.28
MCO,1.77,"82,737 M","696,258",477.75
AVDV,0.61,"19,777 M","695,648",109.63
TYL,2.49,"12,796 M","693,458",312.45
DFAX,1.43,"12,400 M","691,292",37.85
CLOZ,0.19,805 M,"690,946",26.305
ARKB,1.26,"2,477 M","690,405",21.54
ESGE,1.45,"6,733 M","687,624",52.68
ROP,2.42,"39,783 M","686,566",402.25
SJM,2.59,"12,843 M","685,470",120.16
CGCB,0.22,"5,781 M","682,529",25.90
EFAV,0.29,"5,514 M","677,835",94.25
SCZ,0.42,"13,593 M","674,447",86.80
AVB,1.54,"26,782 M","666,110",187.55
J,1.98,"16,979 M","665,799",145.07
AVY,2.66,"13,428 M","664,522",177.18
GNRC,3.01,"12,522 M","664,006",212.22
EFG,0.66,"17,264 M","662,569",126.20
EMN,1.9,"8,419 M","661,379",73.64
POOL,4.39,"7,497 M","658,537",206.31
PBW,3.66,461 M,"657,966",34.81
FLMI,0.2,"2,362 M","651,917",24.73
HSIC,1.44,"9,822 M","649,694",88.13
FTCB,0.22,"2,578 M","648,763",20.61
CLOU,2.11,263 M,"643,268",27.28
TETH,1.47,13 M,"642,911",9.5601
CPER,1.17,772 M,"641,033",39.90
SPYU,2.22,0,"640,469",36.77
RSPT,1.31,"5,869 M","639,469",64.65
TSMX,5.47,652 M,"633,648",78.33
TKO,2.21,"13,640 M","624,957",186.56
MSCI,1.89,"40,942 M","617,275",563.17
JMST,0.07,"7,148 M","615,265",50.89
VONG,0.86,"45,803 M","614,697",128.28
CRL,2.6,"12,770 M","612,509",267.49
FPE,0.11,"6,357 M","610,665",17.87
NEAR,0.12,"4,878 M","606,153",50.47
MPWR,3.37,"68,876 M","605,861",1401.54
JBHT,2.05,"25,218 M","599,291",268.52
RJF,1.73,"33,963 M","598,455",176.56
DFCF,0.24,"10,897 M","595,514",41.75
FAZ,2.25,87 M,"595,206",31.77
SBAC,2.17,"19,523 M","594,957",184.03
IDXX,2.98,"46,219 M","594,849",586.67
FLJP,0.56,"4,083 M","591,708",41.24
FFIV,4.98,"22,664 M","589,011",400.23
BLK,1.32,"175,992 M","588,784",1136.39
ANGL,0.17,"3,109 M","582,978",29.02
PICK,1.21,"2,332 M","581,291",63.64
EZU,0.63,"9,912 M","581,190",71.57
YMAG,0.74,291 M,"579,770",11.58
IEX,2.45,"17,284 M","576,914",234.46
GSY,0.04,"3,875 M","575,393",50.20
DGX,1.28,"26,307 M","574,521",238.35
DFIS,0.62,"5,880 M","572,388",37.24
ULTA,5.36,"24,295 M","566,402",565.15
IVLU,0.43,"4,564 M","557,475",44.44
VRSN,1.5,"26,628 M","556,651",294.56
IYH,1.8,"3,714 M","555,852",70.00
DTCR,1.53,"2,150 M","555,328",28.31
GUSH,5.35,215 M,"546,949",35.24
EAGG,0.25,"4,982 M","544,623",46.74
GL,1.77,"14,275 M","537,728",183.85
CPAY,2.65,"25,683 M","537,470",392.94
VV,0.57,"54,509 M","537,032",356.06
IBDU,0.22,"4,064 M","534,988",23.06
FEZ,0.54,"4,549 M","534,414",71.86
MDY,0.82,"27,067 M","531,739",709.16
TDG,4.31,"67,728 M","521,716",1225.25
EWG,0.51,"1,677 M","518,594",44.02
IVE,0.72,"49,844 M","516,171",235.78
ROBN,6.71,97 M,"502,202",24.51
GNR,0.54,"4,870 M","502,197",74.04
WST,2.48,"24,918 M","500,740",354.07
IYK,1.03,"1,433 M","499,323",74.45
TECL,4.74,"6,212 M","497,364",211.64
BSCR,0.05,"4,592 M","497,149",19.635
BOND,0.25,"8,489 M","494,235",90.78
ULTY,0.85,764 M,"494,158",27.31
MELI,2.84,"92,303 M","492,237",1820.69
TPL,5.95,"23,496 M","491,851",340.65
ETHW,1.47,201 M,"491,703",13.72
OUNZ,0.89,"2,690 M","488,446",41.74
IBDS,0.04,"3,866 M","487,909",24.16
EQIX,2.08,"102,877 M","487,654",1042.62
IBDT,0.08,"4,066 M","487,163",25.16
AIZ,3.31,"14,282 M","486,784",289.55
SCHQ,0.43,798 M,"485,541",30.11
DFSD,0.1,"7,165 M","482,871",47.45
PKG,3.33,"22,813 M","479,284",256.04
GBIL,0.01,"7,588 M","475,249",99.97
AMP,1.6,"48,758 M","463,277",551.98
MLM,3.53,"32,950 M","453,676",548.57
L,1.33,"23,618 M","452,970",115.53
BSCS,0.05,"3,583 M","450,926",20.365
LABU,5.6,631 M,"450,786",277.23
BSCT,0.05,"2,931 M","450,497",18.555
DIHP,0.45,"6,593 M","450,113",35.62
FBL,4.31,183 M,"445,908",22.14
NOC,2.18,"81,200 M","442,997",571.58
MOH,3.8,"10,255 M","438,173",196.45
SCHC,0.5,"5,646 M","437,431",50.68
CMF,0.16,"4,623 M","435,556",56.83
GOVZ,0.68,261 M,"434,636",33.875
IBDR,0.04,"3,381 M","433,876",24.19
QDTE,0.95,958 M,"431,606",29.69
LH,2.11,"25,885 M","429,351",319.17
DFGR,0.87,"3,856 M","425,820",29.66
BILS,0.02,"3,904 M","424,816",99.21
WTW,2.94,"32,024 M","421,621",344.82
CGDG,0.37,"5,616 M","419,270",39.00
IDV,0.29,"8,570 M","418,423",44.61
IWB,0.54,"50,178 M","416,413",423.44
UHS,3.38,"10,505 M","413,374",173.54
DBA,0.78,"1,233 M","412,516",27.62
IBDW,0.42,"2,545 M","400,989",20.65
MLPA,1.36,"2,280 M","392,844",55.92
SNA,1.31,"21,537 M","392,238",416.35
LTPZ,0.44,745 M,"391,735",47.98
DBO,2.79,366 M,"384,598",19.59
FLHY,0.15,"1,243 M","383,493",24.16
RING,2.03,"2,442 M","382,636",78.02
SMST,20.85,25 M,"377,132",51.5987
HUBB,2.42,"27,155 M","374,214",513.99
IPKW,0.42,557 M,"373,908",61.835
CINF,1.32,"27,144 M","366,201",176.86
FDN,1.01,"5,339 M","366,090",289.38
ICVT,0.97,"7,458 M","359,721",115.71
URI,1.73,"72,378 M","355,272",1162.84
EWM,0.41,332 M,"348,805",28.18
IWN,0.83,"14,614 M","348,150",225.52
ECH,1.44,"1,062 M","348,055",41.25
FLCB,0.24,"3,047 M","347,737",21.10
CQQQ,0.76,"3,315 M","344,060",53.08
IBTH,0.04,"2,279 M","341,590",22.34
URTH,0.53,"8,356 M","333,765",210.47
GCOW,0.66,"3,495 M","332,369",46.97
FLKR,4.14,"1,437 M","329,488",55.04
FALN,0.17,"1,601 M","328,349",26.99
JBBB,0.12,"1,424 M","325,490",47.32
URTY,2.17,356 M,"324,359",86.88
BILZ,0.01,"1,033 M","321,991",100.73
ISTB,0.1,"5,129 M","319,121",48.02
GSIE,0.44,"6,158 M","315,781",48.26
DXJ,0.75,"7,417 M","313,814",179.38
IDMO,0.75,"4,260 M","313,612",62.74
CGIE,0.56,"2,463 M","312,856",38.19
DBEF,0.95,"9,393 M","310,519",56.26
EEMV,0.87,"3,557 M","308,663",73.80
FICO,3.49,"22,492 M","308,235",1041.40
TDY,1.57,"32,046 M","302,815",691.30
GWW,2.08,"60,174 M","301,700",1277.55
AVGX,4.31,227 M,"299,540",57.82
VIGI,0.41,"9,310 M","298,609",99.60
PWZ,0.42,"1,173 M","298,297",24.17
DUSB,0.06,"2,231 M","294,338",50.83
FTSM,0.05,"6,537 M","293,195",59.785
HII,1.46,"12,786 M","292,818",324.48
ESGU,0.52,"18,370 M","291,436",169.54
IYW,1.08,"25,481 M","290,839",254.05
EG,2.87,"14,377 M","289,641",374.96
EWI,0.54,"1,083 M","287,906",63.35
BSCV,0.18,"1,776 M","285,273",16.305
MUNI,0.11,"3,119 M","284,304",51.91
GSG,1.13,900 M,"279,435",31.09
BWX,0.62,"1,317 M","277,820",21.99
BKLC,0.57,"5,688 M","277,326",49.41
FSEC,0.23,"4,645 M","272,298",43.49
FIXD,0.27,"3,244 M","269,851",43.08
AOR,0.36,"3,737 M","267,289",70.12
FNGD,3.64,0,"265,432",26.559
CWB,0.99,"5,608 M","262,848",103.86
EWL,0.5,"2,249 M","261,928",64.50
HEFA,0.51,"7,758 M","259,246",47.64
FAS,2.27,"2,424 M","258,132",179.57
DISV,0.9,"5,142 M","256,972",43.87
DIVB,1.42,"1,770 M","253,896",67.30
OEF,0.56,"20,512 M","251,586",383.05
IFRA,1.17,"4,603 M","250,725",61.13
LMBS,4.74,"6,391 M","250,709",49.6352
TECS,5.03,62 M,"243,384",60.22
NDSN,1.21,"17,279 M","243,067",310.11
ESS,2.46,"18,516 M","241,007",288.10
ERIE,3.14,"13,207 M","239,682",252.58
CLOA,0.06,"2,259 M","239,331",51.815
NYF,0.13,"1,412 M","238,608",53.08
IBDX,0.24,"1,737 M","238,409",24.90
BSCW,0.2,"1,523 M","238,102",20.345
CARY,0.44,"1,389 M","233,379",20.685
SCHJ,0.12,848 M,"231,580",24.51
DFEV,1.3,"2,069 M","229,942",41.29
IOO,0.54,"9,495 M","229,415",146.19
BBAX,0.3,"6,902 M","228,887",65.39
NVDU,3.5,631 M,"225,530",145.01
IBHF,0.16,790 M,"225,379",22.50
JPLD,0.08,"3,953 M","225,351",51.98
HTRB,0.2,"2,223 M","224,300",33.325
GSST,0.04,"1,589 M","220,937",50.44
HFXI,0.76,"2,102 M","220,392",38.21
IBTK,0.15,"1,000 M","219,417",19.405
DFGP,0.19,"3,471 M","216,225",53.645
HIMZ,12.63,64 M,"215,141",34.88
ITM,0.18,"2,133 M","210,876",46.17
EPI,0.33,"2,062 M","210,227",43.68
DAPP,3.87,230 M,"203,785",17.69
IWO,0.93,"14,963 M","203,392",390.16
AZO,3.27,"51,054 M","203,263",3127.29
FLBL,0.13,857 M,"202,604",23.00
FLIN,0.33,"2,692 M","201,226",36.18
DRSK,0.61,"1,546 M","200,693",29.02
MMIT,0.33,"1,475 M","198,623",24.06
KSA,0.36,621 M,"198,301",37.65
ESGD,0.54,"12,308 M","198,119",107.68
CLIP,0.01,"2,402 M","197,710",100.14
IDHQ,0.46,985 M,"197,488",45.59
GUNR,0.6,"6,975 M","197,482",53.02
ERX,3.29,217 M,"195,227",88.24
BUXX,0.1,490 M,"194,474",20.22
IDVO,0.93,"1,378 M","193,879",43.06
FPEI,0.13,"1,947 M","186,038",19.20
CLOI,0.13,"1,532 M","183,470",52.84
SHM,0.15,"3,474 M","179,350",47.75
GTO,0.22,"2,471 M","179,056",46.32
JPIB,0.1,"2,137 M","178,897",48.03
JSCP,0.06,"1,762 M","178,545",46.885
BBCA,0.44,"11,264 M","177,866",105.77
PREF,0.17,"1,783 M","176,538",18.86
MLN,0.29,683 M,"176,140",17.505
HDEF,0.34,"2,358 M","175,721",34.12
FTSL,0.13,"2,326 M","175,490",44.9054
FRDM,2.04,"3,340 M","174,429",66.67
EBND,0.28,"2,289 M","174,382",21.19
GOVI,0.32,"1,228 M","174,265",26.5179
BSJR,0.31,883 M,"171,667",22.4011
PCY,0.47,"1,397 M","166,571",21.27
IBHG,0.32,515 M,"164,773",21.96
BAB,0.23,"1,008 M","164,622",26.43
PHYL,0.16,"1,404 M","164,299",34.82
BBUS,0.53,"9,221 M","163,673",139.50
BBEU,0.56,"9,544 M","162,229",80.78
AAXJ,1.53,"3,769 M","161,457",113.53
EMLP,1.3,"4,089 M","161,197",43.43
TBF,0.41,106 M,"158,952",25.24
AFIF,0.74,285 M,"158,805",9.415
IMTM,0.69,"4,274 M","158,185",53.56
IHDG,0.56,"2,246 M","156,499",53.80
FSIG,0.11,"1,524 M","156,022",18.85
JIRE,0.56,"11,382 M","155,384",85.72
UWM,1.4,245 M,"155,268",67.25
OILK,1.82,221 M,"153,336",49.24
BLOK,2.26,"1,066 M","152,867",59.89
EWP,0.59,"2,213 M","149,149",62.66
CGSM,0.08,"1,571 M","147,396",26.31
HYBL,0.11,574 M,"147,029",27.945
MTBA,0.16,"1,494 M","145,286",48.68
TSLS,4.02,76 M,"145,104",63.20
BSJQ,0.04,867 M,"144,707",22.925
AVIG,0.22,"1,961 M","144,390",40.86
INFL,1.25,"1,529 M","143,753",52.05
IGOV,0.48,"1,542 M","143,469",41.45
IBD,0.47,489 M,"143,344",23.62
DEM,0.64,"3,976 M","142,130",54.69
DFGX,0.17,"1,735 M","140,995",52.5774
MGV,0.75,"13,588 M","140,913",166.79
FGD,0.52,"1,593 M","140,166",35.01
IBTL,0.2,655 M,"139,976",20.01
INDY,0.43,569 M,"139,147",44.28
