Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
BIRD,7.0,23 M,12896.0,"420,020",12896.0,2.58
BIVI,17.2351,8.3 M,70728.0,"1,249,301",72012.0,1.1000
BIYA,9.02,12 M,13711.0,"416,030",14670.0,2.70
BKYI,15.36,4.5 M,838086.0,10,841284.0,4.125
BLIN,11.37,14 M,0.0,"85,101",0.0,1.12
BLIV,22.67,25 M,589.0,"5,242",589.0,2.26
BLNE,21.26,37 M,1872.0,"736,961",1872.0,1.12
BLRX,7.14,12 M,0.0,"8,719",0.0,2.712
BMGL,10.2,7.7 M,302.0,"5,895",302.0,4.90
BMR,5.56,21 M,5804.0,"55,395",5804.0,1.33
BMRA,5.0,5 M,0.0,"9,530",0.0,1.63
BNGO,4.82,13 M,0.0,"242,537",0.0,1.16
BNKK,5.39,8.5 M,1256.0,"31,887",1256.0,1.06
BOLT,3.05,7.7 M,0.0,"12,993",0.0,3.99
BON,8.89,9.7 M,1640.0,"25,034",1640.0,1.19
BOSC,2.48,31 M,0.0,"29,294",0.0,4.45
BQ,8.7374,6.1 M,4379.0,"106,547",4379.0,.8200
BRFH,4.73,28 M,34657.0,"54,364",34762.0,1.72
BRIA,13.68,35 M,0.0,"5,240",0.0,1.38
BRLS,17.9978,19 M,500.0,"11,720",500.0,.88775
BRLT,12.8,22 M,18303.0,"394,627",18303.0,1.28
BRN,7.3326,14 M,453.0,"37,203",453.0,.9620
BRNS,9.0314,23 M,1656.0,"21,497",1656.0,.5621
BRQL,0.0,6.4 M,0.0,385,0.0,.212587
BRTX,9.0547,5.1 M,8046.0,"269,285",8655.0,.2010
BTAI,7.2676,29 M,27316.0,"639,135",27316.0,.9279
BTBD,6.24,7.7 M,0.0,"83,010",0.0,1.25
BTCT,4.59,8.3 M,2821.0,"174,373",2821.0,.4916
BTOC,8.0357,13 M,100.0,"96,269",100.0,.2839
BTTC,4.692,8.6 M,39.0,"3,458",39.0,.79665
BYSI,16.2791,32 M,3100.0,"69,637",3100.0,.7857
CABR,9.09,13 M,1219.0,"67,348",1995.0,1.44
CALC,5.4308,10 M,1614.0,"194,200",1614.0,.6590
CANF,5.92,6.9 M,786.0,"18,762",786.0,3.21
CAPS,25.2302,4.5 M,3537.0,"580,072",3537.0,.294900
CCEL,8.63,28 M,0.0,"6,265",0.0,3.51
CCG,9.0,34 M,0.0,"15,766",0.0,13.40
CCHH,5.6,5 M,24178.0,"119,321",24952.0,1.31
CCM,6.91,19 M,346.0,"175,634",346.0,4.34
CCTG,23.2939,10 M,71215.0,"354,612",72613.0,.7671
CDIO,7.02,5.1 M,100.0,"15,041",100.0,1.71
CDLX,9.49,22 M,0.0,"18,004",0.0,3.80
CDTG,16.67,3.8 M,2087.0,"56,653",2087.0,1.26
CELU,8.0882,20 M,125.0,"25,668",125.0,.6866
CELZ,20.54,7.8 M,802431.0,"3,852,116",886076.0,1.20
CENN,7.08,8.2 M,103.0,"5,755",103.0,3.34
CETX,8.83,5.1 M,4728.0,"66,123",4728.0,2.97
CETY,7.8488,11 M,423.0,"20,399",423.0,.9061
CFND,2.83,19 M,0.0,"26,186",0.0,2.84
CGMXF,4.3865,17 M,0.0,"22,190",0.0,.1801
CGTL,19.72,6.6 M,6790.0,"57,313",7100.0,3.85
CHAI,3.1188,7.3 M,63484.0,"387,014",63484.0,.3314
CHNR,9.97,5 M,0.0,"11,608",0.0,3.97
CHOW,7.3529,12 M,5859.0,"130,879",5859.0,.3400
CHR,9.94,3.6 M,795.0,"61,913",1532.0,1.955
CIIT,10.53,3.6 M,1969.0,"96,166",2077.0,3.71
CISO,10.0,12 M,176.0,"74,358",176.0,.2589
CJMB,36.29,11 M,10664.0,"850,696",10664.0,1.9700
CKX,9.0,22 M,0.0,"24,133",0.0,10.88
CLDI,5.92,4 M,14930.0,"163,579",14930.0,1.63
CLGN,15.8333,6.1 M,0.0,"173,533",0.0,.3249
CLIK,12.31,13 M,2702.0,"32,083",2702.0,1.46
CLIR,7.92,27 M,0.0,"15,469",0.0,3.905
CLPS,2.0103,26 M,0.0,"9,531",0.0,.8760
CLRB,1.95,21 M,0.0,"31,899",0.0,2.60
CLWT,5.88,12 M,944.0,"14,587",944.0,1.57
CMCT,11.18,13 M,0.0,"25,430",0.0,4.51
CMMB,9.39,14 M,0.0,"33,422",0.0,1.89
CNET,14.68,4.8 M,695.0,"33,912",695.0,1.32
CNEY,18.0166,5.2 M,300.0,"126,939",300.0,.6365
CNF,6.48,39 M,0.0,"8,265",0.0,2.29
CNSP,3.01,7.5 M,0.0,"1,370",0.0,5.13
CNSY,6.05,26 M,1691.0,"46,937",1691.0,3.84
CNTY,3.81,34 M,282.0,"50,523",282.0,1.20
COCP,10.0,15 M,66549.0,"232,093",68629.0,1.0800
CODX,6.46,5.5 M,2146.0,"185,796",2146.0,1.50
COHN,7.55,38 M,0.0,"20,437",0.0,11.66
